Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2015-01-30,106.30518341064452,109.6979020301332,106.30518341064452,109.32093329463446,43666000,104.34495315551757,3.9793218718468313,0.4926040964404792,0,0.0
2015-02-02,107.43611907958984,107.8130879184656,105.92824372408684,105.92824372408684,29181000,104.45804557800292,4.035870675069277,0.7379011225466982,0,0.0
2015-02-03,108.94397735595705,108.94397735595705,107.05913345706504,107.81307101662183,27160000,104.87271118164062,4.0501155146763725,1.0052222361469456,-1,0.0
2015-02-04,110.07484436035156,110.45181300542126,108.56696978007275,108.94393842514248,40416000,105.32507209777832,4.102952594344642,1.1576473657336805,-1,-1.0
2015-02-05,109.69790649414062,110.0748752449796,108.19003149078476,109.69790649414064,23363000,105.6077980041504,4.203572844655436,0.9730076392491998,0,-1.0
2015-02-06,107.81306457519533,109.69790836147494,107.81306457519533,109.69790836147494,27301000,105.94706993103027,4.08665083015783,0.45660731041535785,0,0.0
2015-02-09,107.05911254882812,108.19001866730166,106.68214384267029,107.81304996114382,26315000,106.32403793334962,3.8002611898149947,0.1934273932140688,0,0.0
2015-02-10,107.43611907958984,107.8130879184656,106.68218140183832,107.05915024071408,33294000,106.70100708007813,3.4904540388662335,0.21060641146573997,0,0.0
2015-02-11,111.582763671875,112.33670126425253,110.07488848711994,110.07488848711994,71259000,107.37955131530762,2.996526700146031,1.4026947787124806,-1,0.0
2015-02-12,111.95972442626952,112.71366196449355,111.20578688804548,112.71366196449355,33577000,108.02039794921875,2.4658121585380224,1.5975776838517954,-1,-1.0
2015-02-13,111.95972442626952,113.09063073360558,111.5827556571575,111.95972442626952,37815000,108.45391159057617,2.3497157790399372,1.4920157012035629,-1,-1.0
2015-02-24,113.84455871582033,114.59849619075952,111.95971502847227,112.3366837659419,72531000,108.90627403259278,2.476179414364101,1.9943161850797206,-1,-1.0
2015-02-25,116.48334503173828,116.48334503173828,114.9754700151462,114.9754700151462,48183000,109.52827186584473,2.738848655389282,2.5394149297763966,-1,-1.0
2015-02-26,113.46759796142578,116.10637930936592,113.46759796142578,115.72941054537448,55574000,109.88639259338379,2.7633839759560646,1.2959492416550549,-1,-1.0
2015-03-02,112.33670043945312,115.352450786821,111.95973164603215,114.22154440655804,41388000,110.22566452026368,2.615722407947615,0.8070565564508193,0,-1.0
2015-03-03,113.46759796142578,113.84456672541724,111.95972290546,113.09062919743434,29134000,110.43299865722656,2.7031159685664843,1.1226300830180536,-1,0.0
2015-03-04,113.46759796142578,114.22153548940868,112.33669166945144,113.09062919743434,32627000,110.64033279418945,2.771492067597626,1.0201238532452495,-1,-1.0
