Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2015-01-30,13.57333278656006,13.83133316040039,13.533332824707031,13.597332954406738,45105000,13.550366592407226,0.49741848293979846,0.04617076956429476,0,0.0
2015-02-02,14.062666893005373,14.130000114440918,13.553333282470703,13.597999572753906,62238000,13.522466564178467,0.44735581156810017,1.2075406530058501,-1,0.0
2015-02-03,14.557332992553713,14.691332817077637,14.084667205810549,14.214667320251465,72393000,13.550033235549927,0.4933432217718063,2.0417829059982657,-1,-1.0
2015-02-04,14.56999969482422,14.76533317565918,14.453332901000977,14.552666664123535,49581000,13.574266576766968,0.5314530200185213,1.8736051552074173,-1,-1.0
2015-02-05,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717772,52843500,13.607733297348023,0.5824950618835066,1.9312329761454168,-1,-1.0
2015-02-06,14.490667343139648,14.893333435058594,14.43333339691162,14.800000190734863,48658500,13.630200004577636,0.6081974247283525,1.4147829365544162,-1,-1.0
2015-02-09,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,52086000,13.666266679763794,0.6380376270287612,1.3046253830173364,-1,-1.0
2015-02-10,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,80857500,13.713199996948243,0.6578816044913254,1.0733442859289493,-1,-1.0
2015-02-11,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,146536500,13.741700029373169,0.6657786747225927,0.668341342014311,0,-1.0
2015-02-12,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,13.7756667137146,0.6342598000703831,-0.3946857567605653,0,0.0
2015-02-13,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,92865000,13.81533341407776,0.5929197951576151,-0.38903441941231387,0,0.0
2015-02-17,13.623332977294922,13.713333129882812,13.43333339691162,13.713333129882812,59694000,13.852933406829834,0.5523622102039497,-0.4156700536232128,0,0.0
2015-02-18,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,13.89470009803772,0.496989396512705,-0.5312655905786207,0,0.0
2015-02-19,14.11400032043457,14.162667274475098,13.583333015441896,13.666666984558104,77311500,13.945166778564452,0.46259979640120186,0.36496674487010056,0,0.0
2015-02-20,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,13.996800136566161,0.46103251848694665,1.0350676392888023,-1,0.0
2015-02-23,13.822667121887209,14.546667098999023,13.755332946777344,14.37733268737793,127497000,14.016966819763184,0.4429084091255279,-0.43869046934466055,0,-1.0
2015-02-24,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000,14.00883345603943,0.4491321232561454,-0.8939469077384937,0,0.0
2015-02-25,13.583999633789062,13.809332847595217,13.505332946777344,13.662667274475098,58642500,14.001433420181275,0.4551128036289144,-0.917209498532535,0,0.0
2015-02-26,13.812666893005373,14.072667121887209,13.481332778930664,13.600000381469728,97093500,14.027500104904174,0.42632003375775823,-0.5039247393681547,0,0.0
2015-02-27,13.555999755859377,13.903332710266112,13.520000457763672,13.793333053588867,58231500,14.021300077438354,0.43249668778820893,-1.075847132976964,1,0.0
2015-03-02,13.155332565307615,13.555999755859377,13.055333137512209,13.513333320617676,118831500,14.000400066375732,0.4642199537157022,-1.8204032254625007,1,1.0
2015-03-03,13.303999900817873,13.349332809448242,13.021332740783691,13.120667457580566,66484500,13.962466716766357,0.4891894690396773,-1.3460363675471465,1,1.0
2015-03-04,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,63330000,13.909400081634521,0.47871671008575717,-0.8635583070485938,0,1.0
2015-03-05,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,73155000,13.849666738510132,0.4663237306738183,-1.0171772847337486,1,0.0
2015-03-06,12.925333023071287,13.383333206176758,12.8100004196167,13.280667304992676,100686000,13.759300041198731,0.46129561387723955,-1.807879791264133,1,1.0
2015-03-09,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,101050500,13.671033334732055,0.4823979720136975,-1.9604147939889138,1,1.0
