Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2015-01-02,9.125043869018555,9.150135425686715,8.740303210306537,8.815578677957225,13884500
2015-01-05,9.116681098937988,9.267232056500351,8.798852540422837,9.183592458377634,16028900
2015-01-06,9.42615032196045,9.585064654973511,9.141776549324517,9.21705205356892,21643700
2015-01-07,9.300689697265625,9.543243625788284,9.14177538450105,9.267234010491688,14361600
2015-01-08,9.04140567779541,9.451237920231465,8.991221763499894,9.208684062703366,18134100
2015-01-09,9.1919584274292,9.359236859689974,8.966132743288776,9.166866862001704,18536300
2015-01-12,9.47633171081543,9.551607201167585,9.099955056701098,9.25050603740541,31410200
2015-01-13,8.932676315307617,9.61015410913585,8.798853580608036,9.59342666612161,27751100
2015-01-14,8.70684814453125,9.083224711464014,8.489385844473649,9.04976903435102,24995100
2015-01-15,9.509788513183594,9.551608323587578,8.84067393965948,8.96613337087143,47959200
2015-01-16,9.827618598937988,9.953077240716858,9.551608948907202,9.610156208717795,32505500
2015-01-20,10.480006217956543,10.597101549146194,10.120357696528837,10.20399653511,35889300
2015-01-21,10.655646324157715,10.94838418485348,10.270905523243007,10.689102011296102,36016800
2015-01-22,10.697468757629395,11.082209652958735,10.588737548335592,10.789471720425675,25263700
2015-01-23,10.396364212036133,10.69746537495937,10.321088721893714,10.588734200047702,19713500
2015-01-26,10.6138277053833,10.672375762672212,10.036716838153948,10.1203564641972,15653600
2015-01-27,10.965109825134277,11.082205109672186,10.739284173524617,10.781103974977182,23691300
2015-01-28,10.546910285949707,10.973470698818735,10.446543270741607,10.806192340138567,19198600
2015-01-29,10.279267311096191,10.396362588323747,10.095260674780409,10.270903191798583,18368200
2015-01-30,10.689098358154297,10.822921060972156,10.178899104249654,10.32945004374286,16184700
2015-02-02,10.781105041503906,10.906563660626295,10.454911515080669,10.471639756375092,14963000
2015-02-03,10.605462074279785,10.990202834636364,10.421455415592792,10.705829125114578,19240300
2015-02-04,10.797834396362305,10.923293835337388,10.63892006416977,10.672375755033809,12409700
2015-02-05,10.923293113708496,10.998567814944744,10.664010928406299,10.764377994367832,10661300
2015-02-06,10.304361343383789,10.613826652819888,10.195630159368969,10.496732145147398,19072200
2015-02-09,10.454912185668945,10.538551802212895,10.329453558499518,10.362909245587797,11698200
2015-02-10,10.178899765014648,10.287630917524016,9.994893137872157,10.270902679762754,17280400
2015-02-11,9.986533164978027,10.254179496749718,9.944714148505941,10.20399556027796,11344000
2015-02-12,10.145445823669434,10.22072131118698,9.97816740565623,10.13708170335717,11627200
2015-02-13,10.15381145477295,10.354545586256137,10.145447333216183,10.245814398957776,11347700
2015-02-17,10.061807632446289,10.187267061854495,9.93634900068461,9.953076446017787,13651800
2015-02-18,10.229086875915527,10.40472945273922,9.961441348430508,10.06180842123739,15644900
2015-02-19,10.722557067871094,10.914927855838913,10.413091780628164,10.496731392378774,30671600
2015-02-20,10.781105041503906,11.032022279748684,10.697465430324682,10.756012679562271,18397600
