Date,Close,High,Low,Open,Volume,RSI,Signal,Position
2015-01-14,178.10299682617188,223.8939971923828,171.50999450683594,223.8939971923828,97638704,14.831817538866716,1,0.0
2015-01-15,209.843994140625,229.06700134277344,176.89700317382812,176.89700317382812,81773504,29.87270391996553,1,1.0
2015-01-16,208.0970001220703,221.59100341796875,199.77099609375,209.07000732421875,38421000,29.56324451944144,1,1.0
2015-01-17,199.25999450683597,211.7310028076172,194.875,207.83399963378903,23469700,27.98404145782277,1,1.0
2015-01-18,210.3390045166016,218.69500732421875,194.5059967041016,200.0500030517578,30085100,32.82856442371029,0,1.0
2015-01-19,214.86099243164065,216.72799682617188,207.3179931640625,211.4709930419922,18658300,34.757708250034156,0,0.0
2015-01-20,211.31500244140625,215.24099731445312,205.1529998779297,212.9069976806641,24051100,33.934676698260404,0,0.0
2015-01-21,226.89700317382807,227.7879943847656,211.2120056152344,211.3780059814453,29924600,40.591738560218566,0,0.0
2015-01-22,233.406005859375,237.0189971923828,226.4340057373047,227.32200622558597,33544600,43.167931609603905,0,0.0
2015-01-23,232.8789978027344,234.84500122070312,225.1959991455078,233.5169982910156,24621700,43.00532384831361,0,0.0
2015-01-24,247.8470001220703,248.2100067138672,230.02200317382807,232.6999969482422,24782500,48.89358080984222,0,0.0
2015-01-25,253.71800231933597,255.07400512695312,243.88999938964844,247.3520050048828,33582700,51.03060900147379,0,0.0
2015-01-26,273.4729919433594,309.3840026855469,254.07899475097656,254.07899475097656,106794000,57.474310436528945,0,0.0
2015-01-27,263.4750061035156,275.4800109863281,250.6529998779297,273.1669921875,44399000,53.62817875276514,0,0.0
2015-01-28,233.9149932861328,266.5350036621094,227.04600524902344,263.3510131835937,44352200,44.2085562902158,0,0.0
2015-01-29,233.51300048828125,238.70599365234372,220.7120056152344,233.34800720214844,32213400,44.09512591385668,0,0.0
2015-01-30,226.4250030517578,242.8509979248047,225.8390045166016,232.77200317382807,26605200,42.04658909429742,0,0.0
2015-01-31,217.4640045166016,233.5039978027344,216.3090057373047,226.4409942626953,23348200,39.54529073729993,0,0.0
2015-02-01,226.9720001220703,231.57400512695312,212.01499938964844,216.86700439453125,29128500,43.39316481484986,0,0.0
2015-02-02,238.22900390625,242.1750030517578,222.65899658203125,226.49099731445312,30612100,47.64220271375622,0,0.0
2015-02-03,227.26800537109372,245.95700073242188,224.4830017089844,237.45399475097656,40783700,44.165876118234955,0,0.0
2015-02-04,226.85299682617188,230.05799865722656,221.11300659179688,227.5110015869141,26594300,44.03486233620784,0,0.0
2015-02-05,217.11099243164065,239.40499877929688,214.7250061035156,227.6649932861328,22516400,40.9630256225355,0,0.0
2015-02-06,222.26600646972656,230.50999450683597,216.23199462890625,216.92300415039065,24435300,43.220182229690074,0,0.0
2015-02-07,227.7539978027344,230.2989959716797,222.60699462890625,222.63299560546875,21604200,45.60452464662434,0,0.0
2015-02-08,223.41200256347656,229.43800354003903,221.07699584960935,227.6929931640625,17145200,44.02917910438969,0,0.0
2015-02-09,220.1100006103516,223.9770050048828,217.0189971923828,223.38900756835935,27791300,42.81784114196811,0,0.0
2015-02-10,219.8390045166016,221.8070068359375,215.33200073242188,220.2819976806641,21115100,42.71397711937334,0,0.0
2015-02-11,219.18499755859372,223.406005859375,218.07400512695312,219.73199462890625,17201900,42.44637778521711,0,0.0
2015-02-12,221.76400756835935,222.19900512695312,217.61399841308597,219.2079925537109,15206200,43.93793343944359,0,0.0
2015-02-13,235.427001953125,240.25900268554688,221.26199340820312,221.968994140625,42744400,51.15939902230763,0,0.0
2015-02-14,257.3210144042969,259.8080139160156,235.5279998779297,235.5279998779297,49732500,60.0417320482742,0,0.0
