Date,Close,High,Low,Open,Volume,Shares Bought,Cumulative Shares,Investment,Portfolio Value
2015-01-31,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000,3.419816512827932,3.419816512827932,50,50.0
2015-02-28,14.062666893005373,14.130000114440918,13.553333282470703,13.597999572753906,62238000,3.555513358911281,6.975329871739213,100,98.09174045509845
2015-03-31,13.155332565307615,13.555999755859377,13.055333137512209,13.513333320617676,118831500,3.800740099255015,10.776069970994229,150,141.76278421545388
2015-04-30,12.505999565124512,12.81999969482422,12.403332710266112,12.579999923706056,56919000,3.9980810601845076,14.774151031178736,200,184.76552637100514
2015-05-31,15.0686674118042,15.451333045959473,14.694000244140623,15.329333305358888,79225500,3.3181434451749845,18.09229447635372,250,272.62676818059646
2015-06-30,16.6299991607666,16.773332595825195,16.49799919128418,16.76066780090332,37576500,3.006614703743324,21.098909180097046,300,350.87484195810464
2015-07-31,17.94333267211914,18.17466735839844,17.856666564941406,18.073999404907227,31518000,2.7865503534742695,23.885459533571314,350,428.5847464373098
2015-08-31,17.332666397094727,17.78066635131836,17.13800048828125,17.752666473388672,38302500,2.8847263804939396,26.770185914065255,400,463.9987018366974
2015-09-30,15.908666610717772,16.399999618530273,15.79800033569336,16.022666931152344,81822000,3.1429409656692835,29.913126879734538,450,475.8779628137971
2015-10-31,15.991999626159668,16.566667556762695,15.808667182922363,16.500667572021484,68595000,3.1265633547295826,33.03969023446412,500,528.3707138779814
2015-11-30,14.252667427062988,14.386667251586914,13.814666748046877,13.928000450134276,58918500,3.5081152532234015,36.54780548768752,550,520.9037168049979
2015-12-31,15.812666893005373,15.866666793823242,15.403332710266112,15.404000282287598,56010000,3.162021962412752,39.70982745010027,600,627.9182738471566
2016-01-31,14.894000053405762,15.425333023071287,14.600000381469728,15.381333351135254,102406500,3.3570565207945373,43.06688397089481,650,641.438172162527
2016-02-29,13.129332542419434,13.3013334274292,12.18333339691162,12.583999633789062,79464000,3.80826670651044,46.875150677405244,700,615.439441219671
2016-03-31,12.423333168029783,13.063332557678224,12.18000030517578,12.949999809265137,100683000,4.024684786581273,50.89983546398652,750,632.3456141670024
2016-04-30,15.839332580566406,16.52666664123535,15.550000190734863,16.32200050354004,239962500,3.156698664269857,54.056534128256374,800,856.219422210191
2016-05-31,16.1200008392334,16.21266746520996,15.654666900634766,16.100000381469727,57658500,3.101736811223255,57.15827093947963,850,921.3913755135416
2016-06-30,14.637332916259766,14.826666831970217,14.459333419799805,14.76533317565918,44740500,3.415922851932806,60.57419379141243,900,886.6446406589391
2016-07-31,14.43333339691162,14.54933261871338,13.733332633972168,13.742667198181152,81000000,3.4642032179966673,64.0383970094091,950,924.2875342405895
2016-08-31,15.333999633789062,15.775333404541016,15.291999816894531,15.699999809265137,60244500,3.260727872317348,67.29912488172644,1000,1031.9647562907176
2016-09-30,13.38466739654541,14.07333278656006,13.366666793823242,13.934000015258787,119146500,3.7356176674890724,71.03474254921551,1050,950.7764026204818
2016-10-31,14.24666690826416,14.378000259399414,13.883333206176758,14.153332710266112,89998500,3.509592827708786,74.5443353769243,1100,1062.0083160129727
2016-11-30,12.719332695007324,13.233332633972168,12.540666580200195,13.202667236328123,105900000,3.9310238358358474,78.47535921276014,1150,998.1542021873042
2016-12-31,12.125332832336426,12.5686674118042,12.06666660308838,12.550000190734863,76896000,4.1235981470675656,82.59895735982771,1200,1001.5398495918754
2017-01-31,14.465999603271484,14.68866729736328,14.064000129699709,14.324000358581545,88849500,3.456380573153929,86.05533793298164,1250,1244.8764843979059
2017-02-28,16.615999221801758,16.8799991607666,16.60333251953125,16.8700008392334,59382000,3.0091479502716445,89.06448588325328,1300,1479.8954281263102
2017-03-31,16.667999267578125,16.989999771118164,16.607332229614258,16.94533348083496,72142500,2.9997601510133163,92.0642460342666,1350,1534.5267854692881
2017-04-30,19.90133285522461,19.933332443237305,18.972000122070312,19.12666702270508,208329000,2.5123945397895158,94.57664057405611,1400,1882.2012043932318
2017-05-31,21.52199935913086,21.81666755676269,20.98733329772949,20.992000579833984,132444000,2.3232042323608355,96.89984480641695,1450,2085.4783978235855
2017-06-30,22.691333770751957,22.992000579833984,22.48600006103516,22.933332443237305,114120000,2.2034844009234753,99.10332920734042,1500,2248.7867208364723
2017-07-31,23.507999420166016,24.75666618347168,23.433332443237305,24.682666778564453,94581000,2.1269355637769918,101.23026477111742,1550,2379.7210055426804
2017-08-31,21.30466651916504,21.6299991607666,21.07533264160156,21.53333282470703,124546500,2.346903668030734,103.57716843914815,1600,2206.6770325954376
2017-09-30,23.69333267211914,23.839332580566406,23.57933235168457,23.7413330078125,45742500,2.110298314379257,105.68746675352742,1650,2504.0883090648567
2017-10-31,22.768667221069336,22.913333892822266,22.367332458496094,22.834667205810547,79302000,2.196000297888834,107.88346705141625,1700,2456.362759948895
2017-11-30,21.405332565307617,22.173999786376957,21.35066795349121,22.149999618530277,126859500,2.3358665345399388,110.21933358595618,1750,2359.2814905339715
2017-12-31,20.435333251953125,20.6879997253418,20.33666610717773,20.362667083740234,64393500,2.446742579802128,112.66607616575831,1800,2302.3688126372044
2018-01-31,21.368667602539062,21.474000930786133,20.733333587646484,20.799999237060547,65283000,2.3398744802440987,115.00595064600242,1850,2457.5239316684383
2018-02-28,23.28333282470703,23.977333068847656,23.242000579833984,23.399999618530277,62965500,2.1474588872836393,117.15340953328605,1900,2727.7218257127047
2018-03-31,22.062000274658203,23.244667053222656,22.00466728210449,23.000667572021484,103284000,2.26634028544697,119.41974981873302,1950,2634.638553300502
2018-04-30,16.832000732421875,17.35533332824707,16.305999755859375,17.083999633789062,241710000,2.970532190132916,122.39028200886594,2000,2060.0733164145513
2018-05-31,19.994667053222656,20.05466651916504,19.54800033569336,19.567333221435547,69384000,2.500666796146586,124.89094880501253,2050,2497.1529393173014
2018-06-30,19.454666137695312,19.46333312988281,18.922666549682617,19.05733299255371,81366000,2.570077514880614,127.46102631989314,2100,2479.711712621516
2018-07-31,22.33799934387207,24.318666458129883,21.989999771118164,24.00466728210449,281397000,2.238338323423596,129.69936464331673,2150,2897.2243223030337
2018-08-31,20.05599975585937,20.200000762939453,19.53333282470703,19.86599922180176,151941000,2.4930195756206306,132.19238421893735,2200,2651.2504256214756
2018-09-30,19.26333236694336,19.87933349609375,19.200000762939453,19.79599952697754,125257500,2.595604906127352,134.7879891250647,2250,2596.4658335880686
2018-10-31,20.71333312988281,20.762666702270508,20.06999969482422,20.384666442871094,326664000,2.4139041112541064,137.20189323631882,2300,2841.908520654487
