Date,Close,High,Low,Open,Volume,Shares Bought,Cumulative Shares,Investment,Portfolio Value
2017-05-31,1421.5999755859375,1434.3199462890625,1348.300048828125,1348.300048828125,713624000,0.035171638195471706,3.675863757557485,1450,5225.607828000953
2017-06-30,2407.8798828125,2448.389892578125,2288.330078125,2288.330078125,1653180032,0.02076515542029364,3.6966289129777783,1500,8901.038393782232
2017-07-31,2434.550048828125,2515.27001953125,2419.22998046875,2492.60009765625,779913984,0.02053767595538551,3.7171665889331638,1550,9049.628100589509
2017-08-31,2718.260009765625,2921.35009765625,2685.610107421875,2871.300048828125,1324669952,0.01839411970170989,3.7355607086348734,1600,10154.225288333917
2017-09-30,4892.009765625,4892.009765625,4678.52978515625,4701.759765625,2599079936,0.010220748198692942,3.7457814568335666,1650,18324.399466726845
2017-10-31,4403.740234375,4403.740234375,4269.81005859375,4341.0498046875,1208210048,0.011353984871702189,3.7571354417052687,1700,16545.448510633778
2017-11-30,6767.31005859375,6767.31005859375,6377.8798828125,6440.97021484375,2870320128,0.007388460047948508,3.764523901753217,1750,25475.700466151135
2017-12-31,10975.599609375,11046.7001953125,9694.650390625,10198.599609375,6783119872,0.004555559767075653,3.7690794615202927,1800,41367.90706556546
2018-01-31,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,0.003661072495456373,3.772740534015749,1850,51525.07275802328
2018-02-28,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,0.005452241611401489,3.7781927756271507,1900,34648.06812418547
2018-03-31,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,0.004565793078257693,3.7827585687054084,1950,41424.98908589293
2018-04-30,6844.22998046875,7060.9501953125,6526.8701171875,7003.06005859375,4532100096,0.007305423713505253,3.7900639924189137,2000,25940.069604808614
2018-05-31,9119.009765625,9255.8798828125,8891.0498046875,9251.4697265625,7713019904,0.005483051480927227,3.795547043899841,2050,34611.63055921175
2018-06-30,7541.4501953125,7604.72998046875,7407.33984375,7500.7001953125,4921460224,0.006630024558284326,3.8021770684581253,2100,28673.928995536236
2018-07-31,6385.81982421875,6432.85009765625,6289.2900390625,6411.68017578125,4788259840,0.007829848222521228,3.8100069166806465,2150,24330.01769894983
2018-08-31,7624.91015625,7769.0400390625,7504.9501953125,7769.0400390625,4797620000,0.006557454314267023,3.8165643709949135,2200,29100.96043438101
